variable	cluster	n_vertices	mean_w_g.pct	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	145773	33.2732974771262	34.6304422948901	1.31248888107701	superiorfrontal (8.15%, 100%)	precentral (7.34%, 100%)	superiorparietal (7.01%, 100%)
prenatal_stress	1	16886	32.8818156979215	-0.738503384244932	0.175512172895049	inferiorparietal (23.99%, 41.87%)	supramarginal (18.92%, 39.20%)	middletemporal (12.82%, 42.79%)
prenatal_stress	2	16022	33.2975266584381	-0.729612186197677	0.175658053042249	postcentral (34.75%, 60.93%)	precentral (33.38%, 49.96%)	paracentral (8.70%, 36.39%)
prenatal_stress	3	2070	33.7187094564424	-0.570597463313508	0.131836476767265	precuneus (53.38%, 13.86%)	lingual (28.26%, 15.02%)	pericalcarine (10.14%, 11.52%)
prenatal_stress	4	1821	33.8172081281062	-0.677086796392653	0.176220535012734	superiorfrontal (54.20%, 8.31%)	paracentral (44.15%, 20.99%)	posteriorcingulate (1.65%, 1.00%)
prenatal_stress	5	1253	31.2124631215147	-0.598651948064589	0.14869267795553	fusiform (48.52%, 13.04%)	lingual (28.81%, 9.27%)	parahippocampal (22.67%, 16.30%)
prenatal_stress	6	807	34.3828104712169	-0.45822337435967	0.120062589636153	precuneus (59.36%, 6.01%)	cuneus (34.70%, 17.09%)	superiorparietal (5.95%, 0.47%)
prenatal_stress	7	770	34.1800894602282	-0.587940023471783	0.154339413248099	lateralorbitofrontal (99.48%, 17.59%)	insula (0.52%, 0.08%)	NA
prenatal_stress	8	563	31.9125323625561	-0.720730738360336	0.171834045256857	superiorparietal (74.6%, 4.11%)	inferiorparietal (25.4%, 1.48%)	NA
prenatal_stress	9	227	34.7374969208309	-0.471602105490437	0.124245252017145	lateraloccipital (100%, 3.81%)	NA	NA
prenatal_stress	10	470	33.9547049281411	-0.807698718030402	0.207302642470979	superiorparietal (90.64%, 4.17%)	precuneus (9.36%, 0.55%)	NA
age_child_mri_f09	1	9618	33.1904347583491	-0.588095186622556	0.117825528260117	precentral (51.99%, 46.71%)	postcentral (26.80%, 28.21%)	paracentral (20.35%, 51.08%)
age_child_mri_f09	2	4092	33.9076855360145	-0.406321082861397	0.0967402955761156	superiorparietal (49.17%, 19.68%)	precuneus (29.57%, 15.17%)	cuneus (16.57%, 41.39%)
age_child_mri_f09	3	2023	33.2216709420212	-0.38221333345681	0.089538063861345	lateraloccipital (58.82%, 19.96%)	lingual (31.93%, 16.59%)	fusiform (9.24%, 4.01%)
age_child_mri_f09	4	2139	32.359500202851	0.472680615941293	0.128684111886935	insula (51.94%, 21.83%)	superiortemporal (44.65%, 13.91%)	temporalpole (3.41%, 8.94%)
age_child_mri_f09	5	1221	33.1743994963593	-0.713239042584179	0.176945878334655	superiorfrontal (82.31%, 8.46%)	rostralmiddlefrontal (8.44%, 1.31%)	frontalpole (7.94%, 26.29%)
age_child_mri_f09	6	753	34.2335869971081	0.444151139077279	0.120101745266363	parahippocampal (80.48%, 34.79%)	fusiform (18.06%, 2.92%)	entorhinal (1.46%, 1.22%)
sex2	1	69401	33.2140279163978	-0.761702078844478	0.142140270018193	inferiorparietal (11.78%, 84.49%)	precentral (9.27%, 60.08%)	superiorparietal (9.16%, 62.17%)
sex2	2	2759	33.4129867574957	-0.765572165710505	0.158142364753701	superiorfrontal (36.06%, 8.38%)	caudalanteriorcingulate (33.49%, 57.46%)	posteriorcingulate (19.50%, 17.97%)
sex2	3	2014	33.5513707230329	-0.745934795051843	0.145859916795271	medialorbitofrontal (62.07%, 44.63%)	lateralorbitofrontal (37.93%, 17.55%)	NA
sex2	4	903	32.4296912679182	-0.652558834845838	0.163386422352801	superiorfrontal (67.66%, 5.14%)	caudalmiddlefrontal (32.34%, 8.36%)	NA
sex2	5	912	33.7436058293411	-0.606554812637337	0.157338117559751	superiorfrontal (100%, 7.68%)	NA	NA
sex2	6	439	33.9441369586174	-0.561653894620496	0.150517773926937	precentral (100%, 4.1%)	NA	NA
