variable	cluster	n_vertices	mean_w_g.pct	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	86258	32.9302281369971	36.8335973650999	1.25286547772303	superiorfrontal (8.63%, 61.13%)	superiorparietal (7.16%, 59.09%)	postcentral (6.45%, 58.48%)
(Intercept)	2	56	34.4247781571391	25.0457559653691	0.867119892367295	cuneus (75%, 2.58%)	lateraloccipital (25%, 0.22%)	NA
(Intercept)	3	56	35.478742702412	26.6521293776376	0.871622216488634	cuneus (50%, 1.72%)	superiorparietal (50%, 0.27%)	NA
(Intercept)	4	56	31.6218869993485	34.8630952835083	1.27404524385929	middletemporal (96.43%, 1.21%)	inferiortemporal (3.57%, 0.05%)	NA
(Intercept)	5	56	33.0219409183101	28.7953999383109	1.03321108434881	lateraloccipital (100%, 0.88%)	NA	NA
(Intercept)	6	56	27.8074851595189	38.8883821623666	1.24759337093149	medialorbitofrontal (98.21%, 2.07%)	superiorfrontal (1.79%, 0.01%)	NA
(Intercept)	7	56	32.2682815594314	34.483218397413	0.917663625308445	lingual (100%, 1.33%)	NA	NA
(Intercept)	8	56	33.6633389028992	39.2988246509007	1.09657460451126	fusiform (100%, 1.19%)	NA	NA
(Intercept)	9	56	30.7847292998538	36.8698763166155	1.22403760680131	rostralmiddlefrontal (100%, 0.77%)	NA	NA
(Intercept)	10	56	30.702643119991	39.2885966300964	1.48739560161318	rostralmiddlefrontal (100%, 0.77%)	NA	NA
(Intercept)	11	56	29.6729951636722	39.1812929425921	1.30721651656287	inferiortemporal (100%, 1.27%)	NA	NA
(Intercept)	12	56	30.9714579372417	38.6027797290257	1.63140981112208	rostralmiddlefrontal (53.57%, 0.41%)	superiorfrontal (46.43%, 0.21%)	NA
(Intercept)	13	56	33.3328838907282	37.5923396519252	1.24002705088684	inferiorparietal (100%, 0.71%)	NA	NA
(Intercept)	14	56	34.3223801373392	35.5066217694964	1.10243492041315	lingual (100%, 1.33%)	NA	NA
(Intercept)	15	56	33.1686013144917	39.3515377044678	1.42484289833478	rostralmiddlefrontal (100%, 0.77%)	NA	NA
(Intercept)	16	56	33.4451935536864	39.5111816951207	1.57125263128962	rostralmiddlefrontal (100%, 0.77%)	NA	NA
(Intercept)	17	56	30.6773984483869	37.1364051955087	1.61608987195151	superiorfrontal (66.07%, 0.30%)	rostralmiddlefrontal (33.93%, 0.26%)	NA
(Intercept)	18	56	27.2391823355277	37.0337430409023	1.22412827185222	inferiortemporal (100%, 1.27%)	NA	NA
(Intercept)	19	56	34.4747113075604	28.9461302416665	1.14706594603402	lateraloccipital (100%, 0.88%)	NA	NA
(Intercept)	20	56	27.7616618155241	41.6092001370021	1.29624722685133	superiorfrontal (100%, 0.46%)	NA	NA
(Intercept)	21	56	33.0431305087108	30.1035075528281	1.05747772221054	lateraloccipital (100%, 0.88%)	NA	NA
(Intercept)	22	56	34.6154399927872	36.6198718207223	1.3573530039617	inferiorparietal (100%, 0.71%)	NA	NA
(Intercept)	23	56	34.2185034464955	36.0546275547573	1.59073575692517	inferiortemporal (100%, 1.27%)	NA	NA
(Intercept)	24	56	31.5621100972317	24.7650899546487	0.727903468268258	cuneus (96.43%, 3.31%)	pericalcarine (3.57%, 0.10%)	NA
(Intercept)	25	56	23.2068003549916	41.3675789151873	1.23510721325874	rostralmiddlefrontal (53.57%, 0.41%)	parstriangularis (23.21%, 0.64%)	parsorbitalis (23.21%, 1.36%)
(Intercept)	26	56	26.5548871470154	33.5347528117044	0.865966599966798	superiorparietal (91.07%, 0.49%)	lateraloccipital (8.93%, 0.08%)	NA
(Intercept)	27	56	31.9142689842401	41.0217910494123	1.22494147717953	caudalmiddlefrontal (100%, 1.5%)	NA	NA
(Intercept)	28	56	31.8551062816142	41.2242436408997	1.3558222843068	rostralmiddlefrontal (100%, 0.77%)	NA	NA
(Intercept)	29	56	31.1013495220546	39.8088543074472	1.41390122047492	caudalmiddlefrontal (100%, 1.5%)	NA	NA
(Intercept)	30	56	30.5096319526462	40.7650288173131	1.4305288365909	caudalmiddlefrontal (100%, 1.5%)	NA	NA
(Intercept)	31	56	33.7560791281396	39.2551920073373	1.29510105933462	lateralorbitofrontal (82.14%, 1.10%)	medialorbitofrontal (17.86%, 0.38%)	NA
(Intercept)	32	56	33.6422020998848	18.9869970934732	0.594803718583924	lingual (100%, 1.33%)	NA	NA
(Intercept)	33	56	32.3127895686879	39.3012232099261	1.45836370119027	superiorfrontal (100%, 0.46%)	NA	NA
