variable	cluster	n_vertices	mean_w_g.pct	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	146190	32.7119619096008	36.8524433867795	1.25968904044382	superiorfrontal (8.33%, 100%)	precentral (7.35%, 100%)	superiorparietal (7.15%, 100%)
age	1	28187	33.027358676064	-0.56903288570173	0.115094074029236	lateraloccipital (17.13%, 75.69%)	inferiorparietal (15.50%, 55.51%)	superiorparietal (9.62%, 25.93%)
age	2	23023	32.685685327491	-0.648339231630776	0.120556859211113	precentral (31.48%, 67.48%)	postcentral (26.98%, 65.25%)	paracentral (12.24%, 85.52%)
age	3	7477	32.2471876416247	-0.495128804638183	0.113753712969866	supramarginal (29.30%, 25.48%)	superiortemporal (21.36%, 21.96%)	postcentral (18.07%, 14.19%)
age	4	2242	32.2426719271163	-0.610949320760186	0.155718667720121	superiorfrontal (62.53%, 11.51%)	rostralmiddlefrontal (25.42%, 7.87%)	frontalpole (8.43%, 69.49%)
age	5	920	32.2010372417486	-0.531739480923051	0.142198749955582	rostralmiddlefrontal (100%, 12.7%)	NA	NA
age	6	570	33.7994996727804	-0.519332306113159	0.124801280153425	lateralorbitofrontal (53.86%, 7.33%)	medialorbitofrontal (46.14%, 9.91%)	NA
age	7	348	32.4904231806135	-0.43832465029996	0.118403898081046	caudalmiddlefrontal (88.79%, 8.27%)	rostralmiddlefrontal (5.75%, 0.28%)	parsopercularis (5.46%, 0.61%)
age	8	320	32.6882332724972	-0.416456449776888	0.113023456023075	parsopercularis (100%, 10.26%)	NA	NA
age	9	179	32.2353774481753	-0.393648111953416	0.113823500591949	caudalmiddlefrontal (100%, 4.79%)	NA	NA
age	10	242	31.5977668976084	-0.390498835808975	0.107421543110501	precentral (100%, 2.25%)	NA	NA
sexFemale	1	60444	32.7347384363685	-0.676201219590045	0.135294913168276	precentral (10.34%, 58.20%)	postcentral (9.25%, 58.72%)	insula (6.68%, 77.24%)
sexFemale	2	2665	32.6702954248066	-0.685004578645413	0.172822701137017	superiorfrontal (54.15%, 11.85%)	rostralmiddlefrontal (38.84%, 14.29%)	caudalmiddlefrontal (7.02%, 5.01%)
sexFemale	3	1800	31.5109313140987	-0.795411821289195	0.163645042719113	caudalanteriorcingulate (46.44%, 58.10%)	superiorfrontal (31.11%, 4.60%)	posteriorcingulate (18.39%, 10.13%)
sexFemale	4	1269	32.6927962564403	-0.582965848270225	0.15062959816298	superiorfrontal (100%, 10.42%)	NA	NA
