variable	cluster	n_vertices	mean_w_g.pct	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	146190	32.7104634896621	36.7186645702475	1.25486505471149	superiorfrontal (8.33%, 100%)	precentral (7.35%, 100%)	superiorparietal (7.15%, 100%)
post_contextual_risk_z	1	5609	32.6389713040753	-0.364766782053037	0.0827854529539889	postcentral (69.75%, 41.10%)	precentral (28.37%, 14.81%)	supramarginal (1.89%, 1.23%)
post_contextual_risk_z	2	1200	32.8753222284451	-0.318481718699137	0.0851202860722939	inferiortemporal (51.5%, 14.00%)	fusiform (48.5%, 12.35%)	NA
post_contextual_risk_z	3	1365	33.4531320278814	-0.236866466346241	0.0632934092574722	precentral (66.37%, 8.44%)	postcentral (33.63%, 4.82%)	NA
post_contextual_risk_z	4	845	31.833609272712	-0.233165203290578	0.0566499188189676	insula (98.93%, 15.99%)	superiortemporal (1.07%, 0.12%)	NA
post_contextual_risk_z	5	566	33.7833311913659	-0.36691259321602	0.0892973646468914	middletemporal (83.22%, 10.58%)	inferiortemporal (16.78%, 2.15%)	NA
post_contextual_risk_z	6	705	32.7479328849691	-0.27988581420682	0.0758070828961142	precentral (100%, 6.56%)	NA	NA
post_contextual_risk_z	7	564	33.9913346704947	-0.267704091437742	0.0668298669080151	lateralorbitofrontal (100%, 13.47%)	NA	NA
post_contextual_risk_z	8	469	33.3256087815176	-0.272929160611462	0.0747482116415557	lingual (70.36%, 7.85%)	parahippocampal (29.42%, 7.51%)	fusiform (0.21%, 0.02%)
post_contextual_risk_z	9	443	31.3675626109258	-0.302576395041787	0.0837236433615803	supramarginal (100%, 5.15%)	NA	NA
age	1	27843	33.0404111492151	-0.567451895452139	0.115025631645635	lateraloccipital (17.44%, 76.11%)	inferiorparietal (15.51%, 54.86%)	lingual (9.58%, 63.45%)
age	2	22143	32.6644870512155	-0.650086690663204	0.120032208983246	precentral (32.57%, 67.16%)	postcentral (28.07%, 65.30%)	paracentral (12.60%, 84.67%)
age	3	7390	32.2578393354272	-0.495803396809085	0.113552235814973	supramarginal (29.26%, 25.14%)	superiortemporal (21.24%, 21.59%)	postcentral (18.06%, 14.02%)
age	4	2065	32.3864939071596	-0.615796381365012	0.157154214277539	superiorfrontal (59.71%, 10.12%)	rostralmiddlefrontal (27.51%, 7.84%)	frontalpole (9.15%, 69.49%)
age	5	461	32.539684721302	-0.504780185907885	0.134620052970412	rostralmiddlefrontal (100%, 6.36%)	NA	NA
age	6	528	33.7290460221318	-0.512534922835502	0.124865358497835	lateralorbitofrontal (53.41%, 6.73%)	medialorbitofrontal (46.59%, 9.27%)	NA
age	7	473	33.4941150771083	-0.488620962514434	0.138499041912924	superiorfrontal (100%, 3.88%)	NA	NA
age	8	402	31.6952578862118	-0.555927041751235	0.151406060922798	rostralmiddlefrontal (100%, 5.55%)	NA	NA
sexFemale	1	66440	32.7119905733216	-0.685135893645477	0.136412950863412	precentral (9.49%, 58.71%)	postcentral (8.62%, 60.20%)	superiorparietal (6.33%, 40.24%)
sexFemale	2	3004	32.6803069632574	-0.69105222869848	0.172782558089646	superiorfrontal (53.00%, 13.07%)	rostralmiddlefrontal (38.78%, 16.08%)	caudalmiddlefrontal (8.22%, 6.61%)
sexFemale	3	1483	32.6876050065229	-0.593829550577512	0.150369188549224	superiorfrontal (100%, 12.18%)	NA	NA
sexFemale	4	482	32.6866195995382	-0.679886293918265	0.17123448125307	lateraloccipital (54.98%, 4.15%)	inferiorparietal (45.02%, 2.76%)	NA
