variable	cluster	n_vertices	mean_w_g.pct	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	146190	32.7104770331122	36.7849994714221	1.27835800170662	superiorfrontal (8.33%, 100%)	precentral (7.35%, 100%)	superiorparietal (7.15%, 100%)
postnatal_stress_z	1	958	32.8714212875644	-0.271285965649843	0.0721395058257968	precentral (100%, 8.92%)	NA	NA
postnatal_stress_z	2	652	33.4189985989399	-0.314278292943912	0.0861319988806006	caudalmiddlefrontal (100%, 17.45%)	NA	NA
postnatal_stress_z	3	437	32.8042948871046	-0.286705581970018	0.0800662481607507	precentral (87.87%, 3.58%)	postcentral (12.13%, 0.56%)	NA
postnatal_stress_z	4	287	31.7775938304541	-0.323845618693255	0.0898285552288182	superiorfrontal (100%, 2.36%)	NA	NA
postnatal_stress_z	5	304	31.7137194572574	-0.290353739487105	0.082134713884443	postcentral (100%, 3.19%)	NA	NA
postnatal_stress_z	6	234	31.4114233289952	-0.322846704823339	0.0902111372377118	superiorfrontal (100%, 1.92%)	NA	NA
postnatal_stress_z	7	212	32.1744999665021	-0.33890667810755	0.0946379212557145	fusiform (89.62%, 4.03%)	inferiortemporal (10.38%, 0.50%)	NA
postnatal_stress_z	8	278	32.749624702843	-0.241215385603819	0.0698669771228334	precuneus (56.83%, 2.16%)	paracentral (38.49%, 3.25%)	posteriorcingulate (4.68%, 0.40%)
postnatal_stress_z	9	227	32.9849539324815	-0.299775591111918	0.0808559192697382	superiorparietal (100%, 2.17%)	NA	NA
postnatal_stress_z	10	171	32.6858688633607	-0.265780017215606	0.074583615955205	superiorparietal (73.1%, 1.20%)	postcentral (26.9%, 0.48%)	NA
postnatal_stress_z	11	119	33.8218510676755	-0.308398934222069	0.0868755592768934	middletemporal (100%, 2.67%)	NA	NA
postnatal_stress_z	12	131	32.1068614387221	-0.187268154311726	0.0550577772767034	insula (100%, 2.51%)	NA	NA
postnatal_stress_z	13	93	32.0715177361347	-0.374441724310639	0.104775029484944	inferiorparietal (56.99%, 0.67%)	lateraloccipital (43.01%, 0.63%)	NA
postnatal_stress_z	14	79	33.3438638862426	-0.313840578251247	0.0934245517548127	middletemporal (100%, 1.77%)	NA	NA
postnatal_stress_z	15	132	31.2685824399414	-0.334877159785141	0.0944304538495613	supramarginal (100%, 1.53%)	NA	NA
age	1	27826	33.0494034172007	-0.57235203203611	0.116489000712708	lateraloccipital (17.38%, 75.81%)	inferiorparietal (15.54%, 54.95%)	superiorparietal (9.69%, 25.77%)
age	2	21962	32.6722408016835	-0.652217941729654	0.121433896119044	precentral (32.70%, 66.87%)	postcentral (28.15%, 64.95%)	paracentral (12.65%, 84.37%)
age	3	7318	32.2325396269815	-0.498902061632925	0.115456138304036	supramarginal (29.27%, 24.91%)	superiortemporal (21.32%, 21.46%)	postcentral (18.19%, 13.98%)
age	4	2220	32.350345555731	-0.622690459401221	0.158114173122354	superiorfrontal (61.53%, 11.22%)	rostralmiddlefrontal (25.99%, 7.97%)	frontalpole (8.74%, 71.32%)
age	5	569	33.775463216472	-0.522663856432601	0.126947682318139	lateralorbitofrontal (54.48%, 7.40%)	medialorbitofrontal (45.52%, 9.76%)	NA
age	6	470	32.5721925413278	-0.5130750587646	0.136907339936241	rostralmiddlefrontal (100%, 6.49%)	NA	NA
age	7	523	33.3232764236997	-0.498779135441005	0.140588365224534	superiorfrontal (100%, 4.29%)	NA	NA
age	8	416	31.6741705237868	-0.565698445774615	0.152824547213431	rostralmiddlefrontal (100%, 5.74%)	NA	NA
age	9	322	32.5442233309404	-0.443847699842838	0.121246964202164	caudalmiddlefrontal (92.86%, 8.00%)	rostralmiddlefrontal (3.73%, 0.17%)	parsopercularis (3.42%, 0.35%)
age	10	298	32.8308603485986	-0.417688719978269	0.114871436917542	parsopercularis (100%, 9.55%)	NA	NA
age	11	201	31.5779249408144	-0.393453355897125	0.110049424257445	precentral (100%, 1.87%)	NA	NA
age	12	104	31.7561972134786	-0.390238361576429	0.115025724785832	caudalmiddlefrontal (100%, 2.78%)	NA	NA
age	13	93	30.686811947683	-0.448166873826776	0.127941792850853	parsopercularis (90.32%, 2.69%)	rostralmiddlefrontal (9.68%, 0.12%)	NA
age	14	53	31.4807921703079	-0.40989007308798	0.120713404467646	rostralmiddlefrontal (100%, 0.73%)	NA	NA
sexFemale	1	60535	32.7078829857657	-0.683004449225825	0.136665395048201	precentral (10.01%, 56.41%)	postcentral (8.90%, 56.60%)	insula (6.57%, 76.11%)
sexFemale	2	2592	32.6924818747719	-0.686488058165084	0.172623955133015	superiorfrontal (54.24%, 11.54%)	rostralmiddlefrontal (38.04%, 13.61%)	caudalmiddlefrontal (7.72%, 5.35%)
sexFemale	3	1258	32.465956972088	-0.586751563347201	0.150212624860966	superiorfrontal (100%, 10.33%)	NA	NA
sexFemale	4	294	32.2994755947413	-0.78996473712986	0.194120339998583	inferiorparietal (67.01%, 2.50%)	lateraloccipital (32.99%, 1.52%)	NA
sexFemale	5	381	31.5346129554011	0.769085636601986	0.14932613043491	supramarginal (97.9%, 4.34%)	superiortemporal (2.1%, 0.11%)	NA
sexFemale	6	324	31.749586411976	-0.485243519331202	0.123869847805228	superiorparietal (71.6%, 2.22%)	inferiorparietal (28.4%, 1.17%)	NA
sexFemale	7	358	31.5789114210389	-0.609980437009694	0.158147946083346	inferiorparietal (100%, 4.55%)	NA	NA
sexFemale	8	196	32.4485953382654	-0.49113306798497	0.137145180483254	caudalmiddlefrontal (100%, 5.25%)	NA	NA
sexFemale	9	264	33.7642428729762	-0.771105929531834	0.206926133088542	inferiorparietal (100%, 3.35%)	NA	NA
sexFemale	10	196	34.9207669160559	-0.643414985464544	0.177903477786755	superiorparietal (100%, 1.87%)	NA	NA
sexFemale	11	159	32.0596820758021	0.638998015496716	0.166455100917216	superiortemporal (99.37%, 2.17%)	transversetemporal (0.63%, 0.09%)	NA
ethnicitynon-European	1	5336	32.755557696775	-0.688718613700709	0.172167804999755	precentral (41.27%, 20.50%)	postcentral (36.51%, 20.46%)	supramarginal (22.23%, 13.79%)
ethnicitynon-European	2	2739	33.412475078643	-0.815006123957037	0.19612063622009	middletemporal (46.04%, 28.32%)	bankssts (23.04%, 29.53%)	inferiortemporal (15.74%, 9.76%)
ethnicitynon-European	3	698	34.058079567067	-0.56392980527058	0.142335331435702	lateralorbitofrontal (100%, 16.67%)	NA	NA
ethnicitynon-European	4	902	34.1555942538797	-0.481853436339985	0.131889106016069	postcentral (67.18%, 6.37%)	precentral (32.82%, 2.76%)	NA
ethnicitynon-European	5	814	32.6394621548124	-0.433501939625646	0.118341767542632	insula (68.55%, 10.67%)	transversetemporal (25.55%, 19.55%)	superiortemporal (5.90%, 0.66%)
ethnicitynon-European	6	604	33.0421247165907	-0.69467246216654	0.176108041297126	lingual (77.98%, 11.20%)	precuneus (16.56%, 1.37%)	pericalcarine (3.81%, 1.20%)
ethnicitynon-European	7	368	34.3511862112562	-0.893357559552659	0.241714831644102	inferiorparietal (100%, 4.68%)	NA	NA
ethnicitynon-European	8	379	34.4357146546457	-0.617422599119373	0.161849316946749	lateralorbitofrontal (100%, 9.05%)	NA	NA
ethnicitynon-European	9	187	32.7764616035721	-0.371884604348218	0.104407077326494	lateraloccipital (81.28%, 2.38%)	lingual (18.72%, 0.83%)	NA
ethnicitynon-European	10	240	34.2990160531767	-0.669260486215353	0.185261984231571	inferiortemporal (83.75%, 4.55%)	fusiform (16.25%, 0.83%)	NA
ethnicitynon-European	11	217	30.3493450111269	-0.658024311889701	0.183293461456277	precuneus (100%, 2.97%)	NA	NA
ethnicitynon-European	12	211	32.9067996690779	-0.584930093791247	0.152768760213355	parahippocampal (51.66%, 5.93%)	lingual (48.34%, 2.43%)	NA
ethnicitynon-European	13	129	33.2442293950109	-0.617895172547924	0.168990798583326	caudalmiddlefrontal (100%, 3.45%)	NA	NA
ethnicitynon-European	14	227	31.7894701115417	-0.57089238649948	0.159769034530098	precentral (74.45%, 1.57%)	parsopercularis (25.55%, 1.86%)	NA
ethnicitynon-European	15	102	32.9343779735145	-0.472839079066819	0.129265619916659	lateraloccipital (100%, 1.6%)	NA	NA
ethnicitynon-European	16	233	33.6590745972402	-0.594276478362186	0.157043427228928	paracentral (67.38%, 4.77%)	precuneus (32.62%, 1.04%)	NA
ethnicitynon-European	17	100	34.5081574081986	-0.397605892419815	0.109382736459374	pericalcarine (100%, 5.23%)	NA	NA
ethnicitynon-European	18	75	31.6092403877531	-0.56614753484726	0.166720745166143	precentral (100%, 0.7%)	NA	NA
ethnicitynon-European	19	97	30.814617505308	-0.532022576663912	0.151079626734724	superiorparietal (69.07%, 0.64%)	postcentral (30.93%, 0.32%)	NA
ethnicitynon-European	20	134	32.972833741432	-0.586645549357827	0.164347890597671	supramarginal (49.25%, 0.77%)	postcentral (29.10%, 0.41%)	superiorparietal (21.64%, 0.28%)
ethnicitynon-European	21	126	31.7337696586532	0.552442146672143	0.134986820083762	isthmuscingulate (100%, 4.98%)	NA	NA
ethnicitynon-European	22	74	30.2933996528135	-0.657977439261772	0.193028339260333	precentral (100%, 0.69%)	NA	NA
ethnicitynon-European	23	55	32.1947259950018	-0.618236075748097	0.182291700081392	superiortemporal (100%, 0.76%)	NA	NA
prenatal_alcohol	1	178	32.8452312274212	0.336400423826796	0.0944358183259375	inferiortemporal (72.47%, 2.92%)	fusiform (27.53%, 1.04%)	NA
prenatal_alcohol	2	109	30.0558691097357	0.251108766148943	0.0698465001555758	fusiform (100%, 2.31%)	NA	NA
prenatal_alcohol	3	55	33.7336685435938	0.22268870472908	0.0633663147687912	lingual (100%, 1.31%)	NA	NA
