variable	cluster	n_vertices	mean_w_g.pct	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	146190	32.6967097574161	36.7349747189321	1.26154862374946	superiorfrontal (8.33%, 100%)	precentral (7.35%, 100%)	superiorparietal (7.15%, 100%)
age	1	27488	33.0281080711858	-0.565344584146807	0.115008278748935	lateraloccipital (17.49%, 75.37%)	inferiorparietal (15.54%, 54.28%)	superiorparietal (9.79%, 25.73%)
age	2	21820	32.6621313557912	-0.646167572882064	0.119754523025547	precentral (32.86%, 66.77%)	postcentral (28.06%, 64.31%)	paracentral (12.74%, 84.40%)
age	3	7278	32.2320084050983	-0.490362514966168	0.113466821764484	supramarginal (29.27%, 24.77%)	superiortemporal (21.43%, 21.46%)	postcentral (18.14%, 13.87%)
age	4	2183	32.3240706411098	-0.615043110766653	0.156278832985811	superiorfrontal (61.61%, 11.04%)	rostralmiddlefrontal (25.74%, 7.76%)	frontalpole (8.84%, 70.96%)
age	5	572	33.7828600017553	-0.518276990606235	0.124744356473113	lateralorbitofrontal (53.67%, 7.33%)	medialorbitofrontal (46.33%, 9.99%)	NA
age	6	461	32.547308808427	-0.504963343611508	0.13476871519699	rostralmiddlefrontal (100%, 6.36%)	NA	NA
age	7	518	33.4304770221436	-0.4929607665907	0.138505762176854	superiorfrontal (100%, 4.25%)	NA	NA
age	8	399	31.6605890216188	-0.557436437833877	0.151210069843103	rostralmiddlefrontal (100%, 5.51%)	NA	NA
age	9	341	32.4658063323856	-0.434586800875202	0.118253936756217	caudalmiddlefrontal (91.50%, 8.35%)	rostralmiddlefrontal (4.69%, 0.22%)	parsopercularis (3.81%, 0.42%)
age	10	303	32.8111230493352	-0.412184183943783	0.113098779133838	parsopercularis (100%, 9.71%)	NA	NA
sexFemale	1	64621	32.699725124306	-0.684514280612062	0.136114237077531	precentral (9.88%, 59.47%)	postcentral (8.88%, 60.30%)	insula (6.30%, 77.85%)
sexFemale	2	2856	32.6290443492253	-0.686559543368362	0.172566206937953	superiorfrontal (53.92%, 12.64%)	rostralmiddlefrontal (38.27%, 15.09%)	caudalmiddlefrontal (7.81%, 5.97%)
sexFemale	3	1395	32.6595989904635	-0.586923618299559	0.150215779730923	superiorfrontal (100%, 11.45%)	NA	NA
sexFemale	4	320	32.2286077172027	-0.789288385491818	0.193587119225413	inferiorparietal (65.94%, 2.68%)	lateraloccipital (34.06%, 1.71%)	NA
sexFemale	5	367	31.925152502032	-0.486901083336864	0.124350349264021	superiorparietal (71.66%, 2.52%)	inferiorparietal (28.34%, 1.32%)	NA
sexFemale	6	400	31.8055536165477	-0.610464689284563	0.158044777065516	inferiorparietal (100%, 5.08%)	NA	NA
ethnicitynon-European	1	5609	32.7075186478418	-0.68670866964526	0.170650167137326	precentral (41.70%, 21.78%)	postcentral (36.01%, 21.22%)	supramarginal (22.29%, 14.53%)
ethnicitynon-European	2	2836	33.3890119193638	-0.812148934432498	0.194337122210621	middletemporal (45.45%, 28.95%)	bankssts (22.81%, 30.28%)	inferiortemporal (15.90%, 10.22%)
ethnicitynon-European	3	750	34.093090104382	-0.562019606590271	0.141865387042363	lateralorbitofrontal (100%, 17.91%)	NA	NA
ethnicitynon-European	4	1013	33.9280039203524	-0.483148874852876	0.131727051287742	postcentral (66.83%, 7.11%)	precentral (33.17%, 3.13%)	NA
ethnicitynon-European	5	915	32.5483764445955	-0.433463713380157	0.11842324766305	insula (67.65%, 11.84%)	transversetemporal (26.23%, 22.56%)	superiortemporal (6.12%, 0.77%)
ethnicitynon-European	6	625	32.9369778334103	-0.695634140348434	0.174278932106495	lingual (76.80%, 11.41%)	precuneus (17.12%, 1.46%)	pericalcarine (4.48%, 1.46%)
ethnicitynon-European	7	416	34.1375018962992	-0.616614505576973	0.161217955693316	lateralorbitofrontal (100%, 9.93%)	NA	NA
ethnicitynon-European	8	389	34.4330737641637	-0.892938196812313	0.240955218940897	inferiorparietal (100%, 4.94%)	NA	NA
ethnicitynon-European	9	202	32.6798697613496	-0.372954404295081	0.104544319249321	lateraloccipital (82.18%, 2.60%)	lingual (17.82%, 0.86%)	NA
