variable	cluster	n_vertices	mean_w_g.pct	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	146190	32.710456167674	36.7251541782481	1.26277689370103	superiorfrontal (8.33%, 100%)	precentral (7.35%, 100%)	superiorparietal (7.15%, 100%)
ethnicitynon-European	1	5827	32.6751274349951	-0.690730342350265	0.173804869407013	precentral (45.96%, 24.93%)	postcentral (32.13%, 19.67%)	supramarginal (20.82%, 14.10%)
ethnicitynon-European	2	2680	33.3706006986628	-0.80321968918416	0.197961648520249	middletemporal (47.57%, 28.64%)	bankssts (23.51%, 29.48%)	inferiortemporal (15.60%, 9.47%)
ethnicitynon-European	3	677	34.2602842409188	-0.560987375555574	0.144857520344867	lateralorbitofrontal (100%, 16.17%)	NA	NA
ethnicitynon-European	4	774	32.4931204274612	-0.435613222708998	0.120629384969325	insula (69.25%, 10.25%)	transversetemporal (25.06%, 18.23%)	superiortemporal (5.68%, 0.61%)
ethnicitynon-European	5	777	33.8872028924586	-0.475971397592601	0.13273826120673	postcentral (69.63%, 5.68%)	precentral (30.37%, 2.20%)	NA
ethnicitynon-European	6	568	32.9751300007108	-0.703367238313379	0.17761028792814	lingual (80.81%, 10.92%)	precuneus (14.96%, 1.16%)	pericalcarine (2.11%, 0.63%)
ethnicitynon-European	7	469	31.3532340845334	-0.666860610056025	0.182539967839906	precuneus (100%, 6.42%)	NA	NA
ethnicitynon-European	8	373	34.329369220168	-0.901607188398653	0.247253820260153	inferiorparietal (100%, 4.74%)	NA	NA
ethnicitynon-European	9	397	34.0482774033124	-0.630745214464082	0.164623578789853	lateralorbitofrontal (100%, 9.48%)	NA	NA
ethnicitynon-European	10	357	33.7231331077836	-0.68921656702079	0.187658775963035	inferiortemporal (68.35%, 5.53%)	fusiform (31.65%, 2.40%)	NA
ethnicitynon-European	11	219	32.8438238684454	-0.382880997848293	0.107041677519611	lateraloccipital (74.89%, 2.57%)	lingual (25.11%, 1.31%)	NA
age	1	27468	33.0382623972828	-0.566461492162206	0.114913932088064	lateraloccipital (17.55%, 75.58%)	inferiorparietal (15.36%, 53.61%)	superiorparietal (9.71%, 25.52%)
age	2	21715	32.6784875056624	-0.646730761661964	0.119819722993498	precentral (32.96%, 66.64%)	postcentral (28.45%, 64.90%)	paracentral (12.78%, 84.24%)
age	3	7181	32.2574733253848	-0.489945920525346	0.113491706681889	supramarginal (28.92%, 24.15%)	superiortemporal (21.50%, 21.24%)	postcentral (18.19%, 13.72%)
age	4	2158	32.3492393030233	-0.615175101108524	0.156899206630326	superiorfrontal (62.23%, 11.03%)	rostralmiddlefrontal (25.16%, 7.50%)	frontalpole (8.90%, 70.59%)
age	5	544	33.7694574634621	-0.513442439410616	0.125052817083676	lateralorbitofrontal (53.86%, 7.00%)	medialorbitofrontal (46.14%, 9.46%)	NA
age	6	441	32.5264896464086	-0.501358669766493	0.134636549722581	rostralmiddlefrontal (100%, 6.09%)	NA	NA
age	7	468	33.4052957146847	-0.488495278816957	0.139008720015359	superiorfrontal (100%, 3.84%)	NA	NA
age	8	395	31.5106724793	-0.556980654635007	0.151611392030233	rostralmiddlefrontal (100%, 5.45%)	NA	NA
age	9	291	32.7453123397882	-0.411123116196636	0.113400818479225	parsopercularis (100%, 9.33%)	NA	NA
age	10	298	32.3766558756547	-0.43183078481847	0.118356572851639	caudalmiddlefrontal (94.30%, 7.52%)	rostralmiddlefrontal (3.69%, 0.15%)	parsopercularis (2.01%, 0.19%)
sexFemale	1	65660	32.6994883261075	-0.685393156987926	0.136422886494621	precentral (9.75%, 59.58%)	postcentral (8.75%, 60.36%)	insula (6.22%, 78.06%)
sexFemale	2	3173	32.6851556314203	-0.675044576734013	0.169691595685922	superiorfrontal (48.63%, 12.67%)	rostralmiddlefrontal (35.49%, 15.55%)	caudalmiddlefrontal (15.88%, 13.49%)
sexFemale	3	1430	32.5864046341028	-0.595699433784385	0.15090936448399	superiorfrontal (100%, 11.74%)	NA	NA
sexFemale	4	322	32.1565515442957	-0.789516115780943	0.193878212932104	inferiorparietal (66.15%, 2.71%)	lateraloccipital (33.85%, 1.71%)	NA
sexFemale	5	416	31.9039149574777	-0.6153442981438	0.158855006492768	inferiorparietal (100%, 5.29%)	NA	NA
sexFemale	6	306	33.5661907353795	-0.774992055168339	0.206909598137429	inferiorparietal (100%, 3.89%)	NA	NA
sexFemale	7	358	31.4871943006913	0.758729162912129	0.14762416646384	supramarginal (98.32%, 4.09%)	superiortemporal (1.68%, 0.08%)	NA
