variable	cluster	n_vertices	mean_w_g.pct	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	146190	32.7119619096008	36.7411991338706	1.25967073563439	superiorfrontal (8.33%, 100%)	precentral (7.35%, 100%)	superiorparietal (7.15%, 100%)
postnatal_stress_z	1	649	32.3788339049168	-0.393722323772536	0.107023124116687	precentral (78.12%, 4.72%)	postcentral (21.88%, 1.49%)	NA
sexFemale	1	64521	32.7152605758078	-0.683836298640283	0.135997829680184	precentral (9.90%, 59.47%)	postcentral (8.90%, 60.32%)	insula (6.31%, 77.82%)
sexFemale	2	2856	32.6455950150628	-0.686571345014983	0.172555939714406	superiorfrontal (53.92%, 12.64%)	rostralmiddlefrontal (38.27%, 15.09%)	caudalmiddlefrontal (7.81%, 5.97%)
sexFemale	3	1395	32.6779399564626	-0.58697789753637	0.150199273677282	superiorfrontal (100%, 11.45%)	NA	NA
age	1	27759	33.0463906260249	-0.566377165922278	0.114801075192357	lateraloccipital (17.40%, 75.72%)	inferiorparietal (15.54%, 54.81%)	superiorparietal (9.66%, 25.64%)
age	2	21887	32.6748414680403	-0.646024558813166	0.119642206626362	precentral (32.80%, 66.84%)	postcentral (28.21%, 64.86%)	paracentral (12.69%, 84.34%)
age	3	7304	32.2369687076277	-0.491228114736041	0.113343253341041	supramarginal (29.27%, 24.86%)	superiortemporal (21.29%, 21.39%)	postcentral (18.17%, 13.94%)
age	4	2195	32.3509948437405	-0.615203181852784	0.156517038451919	superiorfrontal (61.55%, 11.09%)	rostralmiddlefrontal (25.88%, 7.84%)	frontalpole (8.79%, 70.96%)
age	5	465	32.5744900946044	-0.505147091804012	0.134740302783828	rostralmiddlefrontal (100%, 6.42%)	NA	NA
age	6	560	33.7924065588518	-0.515485665468233	0.124791854420411	lateralorbitofrontal (54.11%, 7.23%)	medialorbitofrontal (45.89%, 9.69%)	NA
age	7	512	33.3978541744078	-0.490794113022275	0.138394835201325	superiorfrontal (100%, 4.2%)	NA	NA
age	8	411	31.703531479579	-0.557794268911482	0.150993296083453	rostralmiddlefrontal (100%, 5.67%)	NA	NA
ethnicitynon-European	1	5693	32.7223873254721	-0.686935790824111	0.17069730449886	precentral (41.98%, 22.25%)	postcentral (35.82%, 21.42%)	supramarginal (22.20%, 14.70%)
ethnicitynon-European	2	2846	33.405059853976	-0.812877922695201	0.194240801785081	middletemporal (45.47%, 29.07%)	bankssts (22.91%, 30.51%)	inferiortemporal (15.95%, 10.28%)
ethnicitynon-European	3	1199	34.0866341002232	-0.582476910449148	0.148607265984048	lateralorbitofrontal (100%, 28.63%)	NA	NA
ethnicitynon-European	4	1004	33.9002781226645	-0.482873556564054	0.131734782065528	postcentral (66.04%, 6.97%)	precentral (33.96%, 3.18%)	NA
ethnicitynon-European	5	892	32.5797744723793	-0.433001735786419	0.11845393931585	insula (68.27%, 11.65%)	transversetemporal (25.67%, 21.52%)	superiortemporal (6.05%, 0.74%)
ethnicitynon-European	6	628	32.9604015923991	-0.696505088050654	0.174248910787853	lingual (76.75%, 11.46%)	precuneus (17.20%, 1.48%)	pericalcarine (4.46%, 1.46%)
ethnicitynon-European	7	390	34.4055285524724	-0.891177851114518	0.240974843616669	inferiorparietal (100%, 4.95%)	NA	NA
