variable	cluster	n_vertices	mean_w_g.pct	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	146190	32.7119619096008	36.7407049633767	1.25957540027036	superiorfrontal (8.33%, 100%)	precentral (7.35%, 100%)	superiorparietal (7.15%, 100%)
postnatal_stress_z	1	953	32.8798277802798	-0.266336134323168	0.0707757478581833	precentral (100%, 8.87%)	NA	NA
postnatal_stress_z	2	650	33.4166417213616	-0.310281714934569	0.0849439589679241	caudalmiddlefrontal (100%, 17.4%)	NA	NA
age	1	27757	33.0447754192122	-0.56637196817017	0.11478739838941	lateraloccipital (17.40%, 75.72%)	inferiorparietal (15.54%, 54.81%)	superiorparietal (9.67%, 25.66%)
age	2	21889	32.6741140555912	-0.645939021879195	0.119637715327508	precentral (32.79%, 66.82%)	postcentral (28.22%, 64.88%)	paracentral (12.68%, 84.24%)
age	3	7301	32.2343663298964	-0.491256646645623	0.113326550544394	supramarginal (29.22%, 24.80%)	superiortemporal (21.33%, 21.41%)	postcentral (18.16%, 13.93%)
age	4	2197	32.3493155371093	-0.615554253594898	0.15649830077554	superiorfrontal (61.63%, 11.12%)	rostralmiddlefrontal (25.81%, 7.83%)	frontalpole (8.78%, 70.96%)
age	5	466	32.5841366018421	-0.505382151626722	0.134745626842259	rostralmiddlefrontal (100%, 6.43%)	NA	NA
age	6	560	33.7980637727832	-0.515699017260756	0.124770822921502	lateralorbitofrontal (54.11%, 7.23%)	medialorbitofrontal (45.89%, 9.69%)	NA
age	7	514	33.4036997671703	-0.4906084195997	0.138352710333316	superiorfrontal (100%, 4.22%)	NA	NA
age	8	409	31.6851554263461	-0.557705376142395	0.151014205696822	rostralmiddlefrontal (100%, 5.65%)	NA	NA
sexFemale	1	64522	32.7158511141313	-0.683821994560142	0.13598864346896	precentral (9.90%, 59.47%)	postcentral (8.90%, 60.31%)	insula (6.31%, 77.84%)
sexFemale	2	2858	32.6464747223291	-0.686432746081939	0.17252684728698	superiorfrontal (53.92%, 12.65%)	rostralmiddlefrontal (38.28%, 15.10%)	caudalmiddlefrontal (7.80%, 5.97%)
sexFemale	3	1396	32.6817346654232	-0.586839517092807	0.150179709684114	superiorfrontal (100%, 11.46%)	NA	NA
ethnicitynon-European	1	5625	32.7205568440903	-0.685139758671655	0.170625980557336	precentral (41.83%, 21.91%)	postcentral (35.93%, 21.23%)	supramarginal (22.24%, 14.55%)
ethnicitynon-European	2	2845	33.4168207247149	-0.810688554716864	0.193980939228003	middletemporal (45.34%, 28.98%)	bankssts (22.85%, 30.42%)	inferiortemporal (15.92%, 10.26%)
ethnicitynon-European	3	755	34.1370288689049	-0.562311514876536	0.141713696718216	lateralorbitofrontal (100%, 18.03%)	NA	NA
ethnicitynon-European	4	1005	33.9157571454022	-0.482391032739658	0.131674110904262	postcentral (66.87%, 7.06%)	precentral (33.13%, 3.10%)	NA
ethnicitynon-European	5	903	32.5911680456732	-0.433198910449958	0.118351353214825	insula (68.22%, 11.78%)	transversetemporal (25.69%, 21.80%)	superiortemporal (6.09%, 0.76%)
ethnicitynon-European	6	620	32.9615709177221	-0.69347233325243	0.174022279139007	lingual (77.26%, 11.39%)	precuneus (16.77%, 1.42%)	pericalcarine (4.35%, 1.41%)
ethnicitynon-European	7	415	34.1449470183746	-0.615375416178301	0.161161841685513	lateralorbitofrontal (100%, 9.91%)	NA	NA
ethnicitynon-European	8	385	34.3842132880557	-0.891177714954723	0.24073360395896	inferiorparietal (100%, 4.89%)	NA	NA
