variable	cluster	n_vertices	mean_w_g.pct	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	131662	32.6965405031746	36.7293907017676	1.25905786154237	superiorfrontal (8.35%, 90.28%)	precentral (7.56%, 92.67%)	superiorparietal (7.05%, 88.80%)
postnatal_stress_z	1	898	32.316187174159	-0.266470712632405	0.0708318084337332	precentral (100%, 8.36%)	NA	NA
postnatal_stress_z	2	592	33.2193209940686	-0.309354790889129	0.084748331985965	caudalmiddlefrontal (100%, 15.85%)	NA	NA
age	1	25072	32.9976940212739	-0.565160326427889	0.114701346798408	lateraloccipital (17.31%, 68.05%)	inferiorparietal (15.08%, 48.05%)	lingual (10.46%, 62.35%)
age	2	19926	32.3982668174591	-0.647823077148012	0.119467341148233	precentral (33.90%, 62.90%)	postcentral (28.27%, 59.18%)	paracentral (12.31%, 74.44%)
age	3	6611	32.4378706198504	-0.493289850349056	0.113200121775164	supramarginal (28.32%, 21.77%)	superiortemporal (22.31%, 20.29%)	postcentral (18.29%, 12.70%)
age	4	1927	33.0578606737208	-0.615085931952036	0.156624747435386	superiorfrontal (60.87%, 9.63%)	rostralmiddlefrontal (25.22%, 6.71%)	frontalpole (9.60%, 68.01%)
age	5	448	31.7991525352298	-0.506695085537753	0.134836832693379	rostralmiddlefrontal (100%, 6.19%)	NA	NA
age	6	536	33.0835384560505	-0.514962905156079	0.124515728955505	lateralorbitofrontal (53.17%, 6.81%)	medialorbitofrontal (46.83%, 9.46%)	NA
age	7	461	32.1847309963546	-0.49011690070986	0.138334635992629	superiorfrontal (100%, 3.79%)	NA	NA
age	8	348	32.3334360042249	-0.556873178944505	0.151222187383422	rostralmiddlefrontal (100%, 4.8%)	NA	NA
sexFemale	1	56304	32.633280572892	-0.680903931149674	0.135034020458043	precentral (10.48%, 54.93%)	postcentral (9.14%, 54.06%)	insula (6.54%, 70.47%)
sexFemale	2	2579	32.2650434039668	-0.685391068100328	0.172344595904543	superiorfrontal (53.78%, 11.39%)	rostralmiddlefrontal (37.73%, 13.43%)	caudalmiddlefrontal (8.49%, 5.86%)
sexFemale	3	1273	33.8815398284207	-0.584530863603643	0.149923498927376	superiorfrontal (100%, 10.45%)	NA	NA
sexFemale	4	1658	32.4297207050499	-0.795319719574851	0.162872896676903	caudalanteriorcingulate (44.09%, 50.80%)	superiorfrontal (31.60%, 4.30%)	posteriorcingulate (20.21%, 10.26%)
ethnicitynon-European	1	5021	32.7431004582605	-0.683733204272467	0.170261098388371	precentral (43.04%, 20.12%)	postcentral (35.37%, 18.66%)	supramarginal (21.59%, 12.60%)
ethnicitynon-European	2	2521	33.7193954385792	-0.809626179902812	0.193916146886911	middletemporal (44.15%, 25.00%)	bankssts (23.52%, 27.75%)	inferiortemporal (16.86%, 9.63%)
ethnicitynon-European	3	934	31.6624334359246	-0.481669698524781	0.131323628271162	postcentral (65.31%, 6.41%)	precentral (34.69%, 3.02%)	NA
ethnicitynon-European	4	628	33.7966485065822	-0.561562708229016	0.141784462294761	lateralorbitofrontal (100%, 15%)	NA	NA
ethnicitynon-European	5	817	32.3783174127251	-0.432735610839932	0.118526297882473	insula (65.24%, 10.19%)	transversetemporal (28.03%, 21.52%)	superiortemporal (6.73%, 0.76%)
ethnicitynon-European	6	611	33.1883692866273	-0.695021861850142	0.174357928213726	lingual (77.25%, 11.22%)	precuneus (17.02%, 1.42%)	pericalcarine (4.42%, 1.41%)
ethnicitynon-European	7	344	33.5615971373096	-0.895008549787277	0.241849823183445	inferiorparietal (100%, 4.37%)	NA	NA
