variable	cluster	n_vertices	mean_w_g.pct	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	146190	32.7088531805738	36.719541708113	1.25046292954842	superiorfrontal (8.33%, 100%)	precentral (7.35%, 100%)	superiorparietal (7.15%, 100%)
age	1	27850	33.0258975601729	-0.565720217836288	0.114423801556658	lateraloccipital (17.36%, 75.81%)	inferiorparietal (15.45%, 54.67%)	superiorparietal (9.65%, 25.70%)
age	2	22158	32.6697443694678	-0.647367170072977	0.119516792037928	precentral (32.59%, 67.24%)	postcentral (27.96%, 65.08%)	paracentral (12.70%, 85.46%)
age	3	7429	32.2236213262185	-0.493968809464527	0.113333501751129	supramarginal (29.49%, 25.48%)	superiortemporal (21.34%, 21.80%)	postcentral (17.97%, 14.02%)
age	4	2061	32.3474100832393	-0.607090026111293	0.155836721304723	superiorfrontal (60.12%, 10.17%)	rostralmiddlefrontal (27.07%, 7.70%)	frontalpole (9.07%, 68.75%)
age	5	565	33.766490173747	-0.518383775611894	0.124595282418011	lateralorbitofrontal (53.98%, 7.28%)	medialorbitofrontal (46.02%, 9.80%)	NA
age	6	462	32.5335257264943	-0.50547562642789	0.134507505102204	rostralmiddlefrontal (100%, 6.38%)	NA	NA
age	7	428	31.7088946314343	-0.554280484251887	0.150139182840831	rostralmiddlefrontal (100%, 5.91%)	NA	NA
age	8	484	33.4780360342829	-0.491725369672145	0.137916708965439	superiorfrontal (100%, 3.97%)	NA	NA
sexFemale	1	65043	32.7075962682662	-0.680925341174477	0.135605276262342	precentral (9.76%, 59.08%)	postcentral (8.74%, 59.73%)	insula (6.23%, 77.47%)
sexFemale	2	2979	32.6751802195808	-0.68870543967401	0.172537439279246	superiorfrontal (53.91%, 13.19%)	rostralmiddlefrontal (38.50%, 15.84%)	caudalmiddlefrontal (7.59%, 6.05%)
sexFemale	3	1446	32.5902547503503	-0.589119033323779	0.149698039112332	superiorfrontal (100%, 11.87%)	NA	NA
sexFemale	4	415	32.7489807098095	-0.679316320333136	0.173908589708518	lateraloccipital (50.84%, 3.31%)	inferiorparietal (49.16%, 2.59%)	NA
