variable	cluster	n_vertices	mean_w_g.pct	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	146190	32.7119619096008	36.8115630553191	1.25263545504346	superiorfrontal (8.33%, 100%)	precentral (7.35%, 100%)	superiorparietal (7.15%, 100%)
prenatal_stress_z	1	653	32.9500192202755	-0.487983343749097	0.127065786153398	caudalmiddlefrontal (100%, 17.48%)	NA	NA
prenatal_stress_z	2	833	33.0962706046924	-0.379502685774131	0.105832660148124	paracentral (74.31%, 18.79%)	precuneus (25.69%, 2.93%)	NA
prenatal_stress_z	3	525	33.8918491514658	-0.43891293554079	0.111795455699875	precentral (100%, 4.89%)	NA	NA
ethnicitynon-European	1	6223	32.726585390205	-0.690672286967076	0.175162141855011	precentral (48.37%, 28.03%)	postcentral (31.26%, 20.43%)	supramarginal (18.80%, 13.60%)
ethnicitynon-European	2	2358	33.3651723770479	-0.808577966952951	0.202244615142784	middletemporal (52.71%, 27.92%)	bankssts (22.01%, 24.29%)	inferiortemporal (15.14%, 8.09%)
ethnicitynon-European	3	1030	34.2843330696756	-0.585020840428408	0.154344209232955	lateralorbitofrontal (100%, 24.59%)	NA	NA
ethnicitynon-European	4	615	33.3034227893872	-0.731249562802354	0.190763205217152	fusiform (51.22%, 6.68%)	inferiortemporal (48.78%, 6.80%)	NA
ethnicitynon-European	5	495	30.8360006532231	-0.671809244517124	0.186693582330087	precuneus (97.78%, 6.62%)	superiorparietal (2.22%, 0.11%)	NA
age	1	27933	33.0385140756183	-0.566460282248508	0.114581838563969	lateraloccipital (17.25%, 75.54%)	inferiorparietal (15.57%, 55.24%)	superiorparietal (9.69%, 25.90%)
age	2	22071	32.6659400358538	-0.64707907833266	0.119397323862664	precentral (32.72%, 67.23%)	postcentral (27.86%, 64.60%)	paracentral (12.72%, 85.22%)
age	3	7431	32.2246417340201	-0.493523908862996	0.113321720783779	supramarginal (29.57%, 25.55%)	superiortemporal (21.36%, 21.83%)	postcentral (17.99%, 14.05%)
age	4	2037	32.361007847265	-0.60924765564205	0.156319347465805	superiorfrontal (60.73%, 10.16%)	rostralmiddlefrontal (26.46%, 7.44%)	frontalpole (9.18%, 68.75%)
age	5	931	32.1920131480493	-0.531756189756824	0.142168193447347	rostralmiddlefrontal (100%, 12.85%)	NA	NA
age	6	568	33.7875549992838	-0.518658675620673	0.124583760840477	lateralorbitofrontal (54.23%, 7.35%)	medialorbitofrontal (45.77%, 9.80%)	NA
age	7	485	33.4913805574004	-0.492277700999348	0.137876023367508	superiorfrontal (100%, 3.98%)	NA	NA
sexFemale	1	65582	32.7056203822984	-0.683789914807385	0.135694915025509	precentral (9.73%, 59.39%)	postcentral (8.81%, 60.68%)	insula (6.21%, 77.93%)
sexFemale	2	2979	32.6697062183784	-0.688701739083924	0.172604966954962	superiorfrontal (54.35%, 13.29%)	rostralmiddlefrontal (37.73%, 15.52%)	caudalmiddlefrontal (7.92%, 6.32%)
sexFemale	3	1478	32.6200790996483	-0.593300951531356	0.149862105997231	superiorfrontal (100%, 12.14%)	NA	NA
sexFemale	4	433	32.6676475738912	-0.680595277638689	0.173366003203062	lateraloccipital (51.5%, 3.50%)	inferiorparietal (48.5%, 2.67%)	NA
