variable	cluster	n_vertices	mean_w_g.pct	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	146190	32.7079552411474	36.7522441223795	1.26067404006181	superiorfrontal (8.33%, 100%)	precentral (7.35%, 100%)	superiorparietal (7.15%, 100%)
prenatal_stress_z	1	837	33.7962445229915	-0.360909017931176	0.0884866054607121	caudalmiddlefrontal (100%, 22.4%)	NA	NA
prenatal_stress_z	2	1068	32.4309143267067	-0.302348979375559	0.0805909193577838	paracentral (67.98%, 22.04%)	superiorfrontal (27.53%, 2.41%)	precentral (4.49%, 0.45%)
prenatal_stress_z	3	952	31.7877219141255	-0.334005986692525	0.0918304980145533	postcentral (84.56%, 8.46%)	supramarginal (15.44%, 1.71%)	NA
prenatal_stress_z	4	911	32.7982895396854	-0.304756158040724	0.0761875334705924	precentral (100%, 8.48%)	NA	NA
prenatal_stress_z	5	684	31.443095250479	-0.218069519194072	0.0579947397679265	insula (99.85%, 13.06%)	superiortemporal (0.15%, 0.01%)	NA
prenatal_stress_z	6	507	33.2167396958122	-0.275748871869354	0.0722405288214162	precentral (100%, 4.72%)	NA	NA
prenatal_stress_z	7	430	31.3539709470253	-0.268006897180579	0.0683200142411299	superiortemporal (97.21%, 5.75%)	transversetemporal (2.79%, 1.13%)	NA
prenatal_stress_z	8	311	33.3158008152105	-0.248309420283968	0.0676090159600187	lateralorbitofrontal (100%, 7.43%)	NA	NA
prenatal_stress_z	9	342	32.3102618313282	-0.298772339932403	0.0774747787686119	superiorparietal (70.18%, 2.30%)	postcentral (29.82%, 1.07%)	NA
prenatal_stress_z	10	156	32.1782292677541	-0.261981886071272	0.0730227208099304	parstriangularis (100%, 7.62%)	NA	NA
age	1	27867	33.0327528478883	-0.567184978290827	0.114863277338791	lateraloccipital (17.26%, 75.42%)	inferiorparietal (15.53%, 54.97%)	superiorparietal (9.77%, 26.03%)
age	2	22088	32.6647492222775	-0.647164657659362	0.119713084059486	precentral (32.65%, 67.14%)	postcentral (27.89%, 64.71%)	paracentral (12.67%, 84.97%)
age	3	7393	32.2253848516596	-0.491975530637354	0.113581616779666	supramarginal (29.41%, 25.28%)	superiortemporal (21.40%, 21.76%)	postcentral (18.00%, 13.98%)
age	4	2156	32.2842859807843	-0.610555654733765	0.156111832397104	superiorfrontal (61.27%, 10.85%)	rostralmiddlefrontal (26.48%, 7.88%)	frontalpole (8.67%, 68.75%)
age	5	923	32.2030505873431	-0.533632603652557	0.142383820372245	rostralmiddlefrontal (100%, 12.74%)	NA	NA
age	6	562	33.8111356153843	-0.518260834480096	0.125000527347322	lateralorbitofrontal (54.63%, 7.33%)	medialorbitofrontal (45.37%, 9.61%)	NA
age	7	512	33.3477197268468	-0.494765263341833	0.13814922774327	superiorfrontal (100%, 4.2%)	NA	NA
age	8	343	32.4393625190911	-0.433921706485331	0.118164555824011	caudalmiddlefrontal (91.84%, 8.43%)	rostralmiddlefrontal (4.37%, 0.21%)	parsopercularis (3.79%, 0.42%)
age	9	300	32.575530294915	-0.41262224594752	0.112471402535836	parsopercularis (100%, 9.62%)	NA	NA
sexFemale	1	61887	32.7415955783769	-0.678877291053094	0.135259162626726	precentral (10.23%, 58.97%)	postcentral (9.20%, 59.80%)	insula (6.57%, 77.76%)
sexFemale	2	2817	32.6633387643612	-0.687081384254678	0.172984722608956	superiorfrontal (53.82%, 12.45%)	rostralmiddlefrontal (38.66%, 15.04%)	caudalmiddlefrontal (7.53%, 5.67%)
sexFemale	3	1845	31.5712374877681	-0.797877535312802	0.1631777895983	caudalanteriorcingulate (45.69%, 58.58%)	superiorfrontal (31.60%, 4.79%)	posteriorcingulate (18.64%, 10.53%)
sexFemale	4	1354	32.6451647301958	-0.584990608309185	0.150600465341984	superiorfrontal (100%, 11.12%)	NA	NA
sexFemale	5	308	32.1937550918986	-0.787031477534926	0.194622469461196	inferiorparietal (67.21%, 2.63%)	lateraloccipital (32.79%, 1.58%)	NA
sexFemale	6	395	31.6801529594075	-0.609368897087966	0.158235153744492	inferiorparietal (100%, 5.02%)	NA	NA
sexFemale	7	305	33.6068693550381	-0.771837953465884	0.207100584565616	inferiorparietal (100%, 3.87%)	NA	NA
sexFemale	8	346	31.8941839225822	-0.483959266991285	0.123819126795999	superiorparietal (72.54%, 2.40%)	inferiorparietal (27.46%, 1.21%)	NA
sexFemale	9	376	31.5361170508802	0.74961480926326	0.147158319229617	supramarginal (97.87%, 4.28%)	superiortemporal (2.13%, 0.11%)	NA
sexFemale	10	197	32.5041271982668	-0.490338138366109	0.137530893314308	caudalmiddlefrontal (100%, 5.27%)	NA	NA
ethnicitynon-European	1	3792	32.8217579480755	-0.691948683201512	0.178701755520004	precentral (42.99%, 15.18%)	postcentral (40.72%, 16.22%)	supramarginal (16.30%, 7.19%)
ethnicitynon-European	2	1921	33.3296916582759	-0.816455077963655	0.206237685627642	middletemporal (60.44%, 26.08%)	bankssts (25.82%, 23.21%)	inferiortemporal (7.50%, 3.26%)
ethnicitynon-European	3	242	34.4100904453255	-0.539381380292995	0.14618003725513	lateralorbitofrontal (100%, 5.78%)	NA	NA
ethnicitynon-European	4	245	33.9920341525464	-0.68900468592741	0.193858060605672	inferiortemporal (59.18%, 3.28%)	fusiform (40.82%, 2.12%)	NA
