variable	cluster	n_vertices	mean_w_g.pct	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	130412	32.7114664444189	21.1514874557606	2.8369362117765	superiorfrontal (8.31%, 89.00%)	precentral (8.20%, 99.61%)	supramarginal (6.09%, 92.38%)
prenatal_stress_z	1	1889	32.0684673921424	-0.326960876883812	0.0866716421702793	postcentral (70.51%, 13.99%)	superiorparietal (15.56%, 2.81%)	supramarginal (13.92%, 3.06%)
prenatal_stress_z	2	1576	32.6009957876614	-0.301049446885658	0.0785735463912641	paracentral (69.04%, 33.03%)	superiorfrontal (25.13%, 3.25%)	precentral (4.00%, 0.59%)
prenatal_stress_z	3	978	33.5959876096337	-0.363321719207403	0.0874983889864022	caudalmiddlefrontal (100%, 26.18%)	NA	NA
prenatal_stress_z	4	1103	32.7715866576873	-0.30225229937438	0.0751602823895859	precentral (100%, 10.27%)	NA	NA
prenatal_stress_z	5	718	31.5476912237957	-0.218956158000945	0.0579865734536502	insula (99.44%, 13.65%)	superiortemporal (0.56%, 0.06%)	NA
prenatal_stress_z	6	623	33.1436094644933	-0.270931496498673	0.0705622635291438	precentral (100%, 5.8%)	NA	NA
prenatal_stress_z	7	387	33.4028132751609	-0.247535798939316	0.0669351366062189	lateralorbitofrontal (100%, 9.24%)	NA	NA
prenatal_stress_z	8	236	32.1810326794527	-0.266986506343898	0.0716483957939229	parstriangularis (100%, 11.53%)	NA	NA
prenatal_stress_z	9	484	31.1590883312456	-0.271653064518921	0.0694746260323431	superiortemporal (96.28%, 6.41%)	transversetemporal (3.72%, 1.69%)	NA
age	1	22683	32.9743178308092	-0.532163168780231	0.108221389051744	lateraloccipital (22.17%, 78.84%)	lingual (13.71%, 73.96%)	inferiorparietal (13.52%, 38.95%)
age	2	15751	32.7668475089146	-0.610654589906737	0.115406336348084	precentral (41.65%, 61.08%)	postcentral (30.79%, 50.95%)	paracentral (13.69%, 65.48%)
age	3	4374	32.3248846618933	-0.436756957174165	0.106092525415283	superiortemporal (29.31%, 17.63%)	insula (22.50%, 18.82%)	transversetemporal (21.33%, 87.69%)
age	4	830	33.6668638056423	-0.509157882110182	0.137025901648295	bankssts (53.37%, 20.73%)	superiortemporal (43.37%, 4.95%)	middletemporal (3.25%, 0.61%)
age	5	413	33.0448673424118	-0.666574931606542	0.162928265426984	superiorfrontal (42.62%, 1.45%)	frontalpole (35.11%, 53.31%)	rostralmiddlefrontal (16.71%, 0.95%)
