variable	cluster	n_vertices	mean_w_g.pct	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	145674	33.2947682806043	34.5261475191017	1.27763995316969	superiorfrontal (8.15%, 100%)	precentral (7.35%, 100%)	superiorparietal (7.02%, 100%)
postnatal_stress_z	1	1064	31.5843531942433	-0.425416360112061	0.110745513601635	inferiorparietal (93.14%, 10.24%)	lateraloccipital (6.86%, 1.22%)	NA
postnatal_stress_z	2	587	34.7106429645625	-0.421050351411358	0.116533633264407	middletemporal (67.63%, 7.85%)	inferiortemporal (32.37%, 4.53%)	NA
postnatal_stress_z	3	736	32.5435222287998	-0.406763713401945	0.1112371892972	postcentral (93.34%, 7.52%)	superiorparietal (6.66%, 0.48%)	NA
postnatal_stress_z	4	443	33.3938491412733	-0.326054910370243	0.0914632336953424	fusiform (100%, 9.5%)	NA	NA
postnatal_stress_z	5	495	32.6594701885791	-0.332361655795213	0.0870909442052697	precuneus (60%, 3.72%)	isthmuscingulate (40%, 8.29%)	NA
postnatal_stress_z	6	474	33.8486917221696	-0.404107741728614	0.111617263940945	supramarginal (100%, 5.82%)	NA	NA
postnatal_stress_z	7	315	34.859350484169	-0.367468606006531	0.101485631130044	precentral (94.60%, 2.78%)	postcentral (3.17%, 0.11%)	parsopercularis (2.22%, 0.28%)
postnatal_stress_z	8	310	33.3864141015265	-0.445060267563789	0.122598628651711	postcentral (99.35%, 3.37%)	supramarginal (0.65%, 0.02%)	NA
sexFemale	1	66371	33.2242271515819	-0.75640921089776	0.138204070976857	inferiorparietal (12.50%, 85.74%)	superiorparietal (9.92%, 64.42%)	precentral (9.81%, 60.85%)
sexFemale	2	4016	33.0043631042893	-0.83712174421347	0.165573955335435	rostralmiddlefrontal (96.14%, 49.10%)	caudalmiddlefrontal (3.86%, 4.44%)	NA
sexFemale	3	2856	33.5521440593127	-0.776894074382067	0.155369881310967	superiorfrontal (36.06%, 8.67%)	caudalanteriorcingulate (33.54%, 59.58%)	posteriorcingulate (19.89%, 18.97%)
sexFemale	4	2044	33.4847848519211	-0.74791272091014	0.1430243677487	medialorbitofrontal (62.82%, 45.84%)	lateralorbitofrontal (37.18%, 17.46%)	NA
sexFemale	5	866	32.391090482726	-0.647192995694163	0.160704278471013	superiorfrontal (65.36%, 4.77%)	caudalmiddlefrontal (34.64%, 8.59%)	NA
sexFemale	6	780	32.7478625408659	-0.579042286559557	0.154351762300118	superiorfrontal (100%, 6.57%)	NA	NA
sexFemale	7	198	36.0563300778648	-0.640932009978728	0.171769787265797	rostralmiddlefrontal (96.97%, 2.44%)	lateralorbitofrontal (3.03%, 0.14%)	NA
age	1	9817	33.101085864357	-0.575551398853621	0.114308164842724	precentral (50.80%, 46.59%)	postcentral (28.81%, 30.95%)	paracentral (19.68%, 50.43%)
age	2	4454	33.3248059905242	-0.398668728059565	0.0935530585530003	superiorparietal (45.98%, 20.04%)	precuneus (28.87%, 16.13%)	cuneus (18.05%, 49.08%)
