variable	cluster	n_vertices	mean_w_g.pct	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	145674	33.2885187405922	34.5657560392714	1.29230446633011	superiorfrontal (8.15%, 100%)	precentral (7.35%, 100%)	superiorparietal (7.02%, 100%)
prenatal_stress_z	1	248	32.8619054941634	-0.263654561232655	0.067518898721544	lateraloccipital (100%, 4.16%)	NA	NA
prenatal_stress_z	2	260	33.1600578542367	-0.356124928249763	0.0992925005750014	postcentral (100%, 2.85%)	NA	NA
prenatal_stress_z	3	216	33.9775989177674	-0.37415178037352	0.100277761238869	superiorfrontal (100%, 1.82%)	NA	NA
prenatal_stress_z	4	183	34.7391301434735	-0.299713344114726	0.0816841114902757	paracentral (70.49%, 3.37%)	precentral (29.51%, 0.50%)	NA
prenatal_stress_z	5	134	32.5171158970189	-0.306476606139496	0.084231880284957	precuneus (100%, 1.68%)	NA	NA
age	1	9830	33.1202361030972	-0.579555860046574	0.115495462414722	precentral (50.62%, 46.48%)	postcentral (28.86%, 31.05%)	paracentral (19.75%, 50.67%)
age	2	4776	33.0723621190463	-0.392993594309193	0.0926927175283919	superiorparietal (43.70%, 20.42%)	precuneus (24.77%, 14.83%)	cuneus (16.08%, 46.89%)
age	3	2177	32.9590758399576	-0.393859828981884	0.0875104528962607	lateraloccipital (59.16%, 21.60%)	lingual (30.50%, 17.05%)	fusiform (10.34%, 4.83%)
age	4	1220	32.8651623677941	-0.717529196328804	0.170712290667608	superiorfrontal (72.87%, 7.48%)	rostralmiddlefrontal (11.80%, 1.83%)	frontalpole (11.64%, 38.48%)
age	5	1905	33.0164547235382	0.47705821764125	0.128240975725839	superiortemporal (55.22%, 15.32%)	insula (43.62%, 16.33%)	temporalpole (1.15%, 2.69%)
age	6	253	35.7340251445319	0.393253702891203	0.114561181294588	parahippocampal (97.23%, 14.12%)	fusiform (2.77%, 0.15%)	NA
age	7	100	33.0733438249265	0.559831377267837	0.158458515107632	inferiortemporal (100%, 2.38%)	NA	NA
sexFemale	1	63997	33.2303740502938	-0.757827194910142	0.139627493684053	inferiorparietal (12.66%, 83.71%)	precentral (10.03%, 59.99%)	superiorparietal (9.76%, 61.09%)
sexFemale	2	3858	32.9299502945562	-0.843607567239141	0.167875979808311	rostralmiddlefrontal (96.58%, 47.38%)	caudalmiddlefrontal (3.34%, 3.69%)	parstriangularis (0.08%, 0.13%)
sexFemale	3	2771	33.5538732050023	-0.777734960579605	0.157552055339657	superiorfrontal (35.80%, 8.35%)	caudalanteriorcingulate (34.14%, 58.83%)	posteriorcingulate (19.70%, 18.24%)
sexFemale	4	1987	33.4430725567829	-0.748167957111286	0.144191018453362	medialorbitofrontal (63.66%, 45.16%)	lateralorbitofrontal (36.34%, 16.58%)	NA
sexFemale	5	777	32.3599042481699	-0.650047032299189	0.164075084903219	superiorfrontal (64.35%, 4.21%)	caudalmiddlefrontal (35.65%, 7.93%)	NA
sexFemale	6	423	32.4337381182726	-0.584246928105681	0.157705212844179	superiorfrontal (100%, 3.56%)	NA	NA
sexFemale	7	313	33.8655786935552	-0.53681402503492	0.143506356131155	parstriangularis (100%, 13.15%)	NA	NA
sexFemale	8	190	35.947683626108	-0.647479526933871	0.173657893742386	rostralmiddlefrontal (96.32%, 2.33%)	lateralorbitofrontal (3.68%, 0.16%)	NA
sexFemale	9	203	33.5008524980469	-0.586679876144296	0.155535120461962	superiorfrontal (100%, 1.71%)	NA	NA
sexFemale	10	187	32.4798641540435	-0.592901279422689	0.151607167832354	superiorfrontal (90.37%, 1.42%)	paracentral (9.63%, 0.47%)	NA
sexFemale	11	130	33.7355963980418	-0.525652517951452	0.149739027367188	superiorfrontal (82.31%, 0.90%)	medialorbitofrontal (17.69%, 0.82%)	NA
sexFemale	12	159	32.8388178529955	-0.559785405607343	0.154257618968592	superiorfrontal (100%, 1.34%)	NA	NA
sexFemale	13	140	31.4439925779839	-0.530902211580958	0.149992228938001	precentral (100%, 1.31%)	NA	NA
sexFemale	14	161	36.3694574183353	-0.507685906028155	0.13436052254083	posteriorcingulate (100%, 5.38%)	NA	NA
sexFemale	15	118	33.8905922054595	-0.584713560039714	0.166041808108152	superiorfrontal (78.81%, 0.78%)	precentral (21.19%, 0.23%)	NA
sexFemale	16	137	34.8266554176201	0.466345274100338	0.13095765082288	isthmuscingulate (92.7%, 5.32%)	precuneus (7.3%, 0.13%)	NA
sexFemale	17	129	33.1277214016661	0.656486461328906	0.172388003200524	superiortemporal (100%, 1.88%)	NA	NA
ethnicitynon-European	1	10914	32.8923405799194	-0.754292291933655	0.189118570395037	inferiorparietal (32.59%, 36.76%)	supramarginal (19.00%, 25.45%)	middletemporal (13.50%, 29.13%)
ethnicitynon-European	2	1565	32.6942004171203	-0.632687543546811	0.167071327900353	precentral (62.17%, 9.09%)	postcentral (37.83%, 6.48%)	NA
ethnicitynon-European	3	1876	33.5056895575848	-0.735886074459629	0.183260270614804	superiorparietal (49.95%, 9.17%)	postcentral (42.22%, 8.67%)	supramarginal (6.72%, 1.55%)
ethnicitynon-European	4	1316	32.5238501773997	-0.617220477356737	0.154072041665756	lingual (47.19%, 15.95%)	precuneus (43.92%, 7.25%)	pericalcarine (4.79%, 3.46%)
ethnicitynon-European	5	755	33.4508133448519	-0.725703447149289	0.178830813887893	lateralorbitofrontal (99.87%, 17.32%)	insula (0.13%, 0.02%)	NA
ethnicitynon-European	6	675	32.7057533299227	-0.627513389896463	0.167032781861447	parahippocampal (58.22%, 22.56%)	lingual (38.22%, 6.63%)	fusiform (3.56%, 0.51%)
