variable	cluster	n_vertices	mean_w_g.pct	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	101693	33.2463616029558	19.8002825435376	2.78988603326316	precentral (9.56%, 90.82%)	inferiorparietal (6.89%, 72.43%)	superiorfrontal (6.81%, 58.32%)
prenatal_stress_z	1	419	33.185036841994	-0.366795530822795	0.0969628646685286	superiorfrontal (100%, 3.53%)	NA	NA
prenatal_stress_z	2	278	32.4849716961926	-0.266420594919071	0.0671063609850064	lateraloccipital (99.64%, 4.65%)	inferiorparietal (0.36%, 0.01%)	NA
prenatal_stress_z	3	386	33.3752592364912	-0.356117927348675	0.0952873553482362	postcentral (100%, 4.22%)	NA	NA
prenatal_stress_z	4	512	32.3498688401426	-0.294964974164031	0.0807474838366034	precuneus (60.94%, 3.91%)	paracentral (39.06%, 5.22%)	NA
prenatal_stress_z	5	365	35.0434738701797	-0.307165849168007	0.0817371498640269	paracentral (51.23%, 4.88%)	precentral (48.77%, 1.66%)	NA
prenatal_stress_z	6	190	35.0974794565096	-0.314244482862322	0.0864743528789596	caudalmiddlefrontal (100%, 5.44%)	NA	NA
prenatal_stress_z	7	288	34.8105266564519	-0.334515486740404	0.0958652162355267	postcentral (84.03%, 2.65%)	supramarginal (15.97%, 0.56%)	NA
age	1	4335	33.0794992364219	-0.352664417819031	0.0837221688877753	superiorparietal (35.78%, 15.17%)	cuneus (21.91%, 58.00%)	pericalcarine (20.72%, 49.26%)
age	2	5176	33.4760390450257	0.589836749235252	0.145090742854306	superiortemporal (42.85%, 32.29%)	middletemporal (29.21%, 29.90%)	fusiform (9.68%, 10.75%)
age	3	6376	33.0706410360004	-0.555275592868832	0.109018700069969	precentral (64.95%, 38.68%)	postcentral (19.51%, 13.61%)	paracentral (15.54%, 25.87%)
age	4	2266	32.9091751080757	-0.378731684875983	0.0843481619095155	lateraloccipital (58.25%, 22.14%)	lingual (34.73%, 20.21%)	fusiform (7.02%, 3.41%)
age	5	722	33.0467106864425	-0.677342959800916	0.175531942036178	superiorfrontal (82.13%, 4.99%)	frontalpole (12.05%, 23.58%)	rostralmiddlefrontal (5.12%, 0.47%)
age	6	369	32.8640836528489	0.452331297362077	0.125995045169421	parsorbitalis (98.92%, 38.58%)	lateralorbitofrontal (1.08%, 0.09%)	NA
age	7	346	34.133037989551	0.585722999765694	0.155831586806416	inferiortemporal (69.65%, 5.74%)	middletemporal (30.35%, 2.08%)	NA
age	8	307	33.7758317834538	0.366646053736684	0.100799544407995	insula (100%, 6.03%)	NA	NA
age	9	175	31.7540613057126	-0.251304990478924	0.071083063525813	pericalcarine (100%, 9.6%)	NA	NA
age	10	151	31.0414106250862	0.47099539617829	0.133600967905379	rostralmiddlefrontal (94.04%, 1.81%)	parstriangularis (5.96%, 0.38%)	NA
sexFemale	1	79303	33.2730540577225	-0.777693773558798	0.140493709568786	inferiorparietal (11.50%, 94.21%)	superiorparietal (10.40%, 80.72%)	precentral (9.28%, 68.72%)
sexFemale	2	5436	33.088317523389	-0.715028544267019	0.15267964648775	superiorfrontal (62.44%, 28.57%)	caudalanteriorcingulate (17.99%, 60.82%)	posteriorcingulate (12.29%, 22.31%)
sexFemale	3	2208	33.5211218903068	-0.756639627766782	0.142716563313498	medialorbitofrontal (61.37%, 48.38%)	lateralorbitofrontal (38.63%, 19.59%)	NA
sexFemale	4	1276	33.1063129501541	-0.692162056701684	0.1568984488218	superiorfrontal (66.46%, 7.14%)	caudalmiddlefrontal (33.54%, 12.25%)	NA
sexFemale	5	567	34.4948608057289	-0.59183270480267	0.158870201577585	superiorfrontal (54.14%, 2.58%)	precentral (45.86%, 2.43%)	NA
sexFemale	6	302	32.9766846564135	-0.562308231331655	0.147695149264194	superiorfrontal (67.55%, 1.72%)	medialorbitofrontal (32.45%, 3.50%)	NA
sexFemale	7	340	32.3019415906108	-0.422385991408544	0.110656067224986	lingual (72.06%, 6.29%)	parahippocampal (27.94%, 5.45%)	NA
sexFemale	8	289	32.7682140825923	-0.629107594283807	0.169125688065707	superiorfrontal (95.85%, 2.33%)	rostralmiddlefrontal (4.15%, 0.15%)	NA
ethnicitynon-European	1	3466	32.4365711192839	-0.736159368567018	0.191493495193886	inferiorparietal (39.41%, 14.12%)	middletemporal (33.15%, 22.72%)	lateraloccipital (13.24%, 7.70%)
ethnicitynon-European	2	1806	33.6983209465628	-0.701058530662279	0.183166890940397	supramarginal (47.12%, 10.44%)	superiortemporal (41.64%, 10.95%)	bankssts (8.58%, 7.06%)
ethnicitynon-European	3	878	31.6776051115696	-0.638836040380061	0.159025469561508	lingual (74.37%, 16.77%)	precuneus (11.62%, 1.28%)	pericalcarine (9.11%, 4.39%)
ethnicitynon-European	4	670	33.8219149380119	-0.709370908630428	0.188471735013065	inferiorparietal (58.36%, 4.04%)	supramarginal (41.64%, 3.42%)	NA
ethnicitynon-European	5	666	33.505774998537	-0.703392228296211	0.177807876968885	lateralorbitofrontal (99.7%, 15.25%)	insula (0.3%, 0.04%)	NA
