variable	cluster	n_vertices	mean_w_g.pct	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	145674	33.28551657634	34.4812366569733	1.28622661078088	superiorfrontal (8.15%, 100%)	precentral (7.35%, 100%)	superiorparietal (7.02%, 100%)
prenatal_stress_z	1	32947	33.2097226332581	-0.313590019876654	0.0747931644567657	precentral (17.88%, 55.03%)	postcentral (15.84%, 57.10%)	supramarginal (13.40%, 54.17%)
prenatal_stress_z	2	1841	32.9106762379337	-0.23336211417532	0.055447290227068	precuneus (52.96%, 12.23%)	lingual (29.11%, 13.76%)	pericalcarine (11.03%, 11.14%)
prenatal_stress_z	3	1808	33.0809787165516	-0.296600481849658	0.075462801066697	superiorfrontal (63.66%, 9.69%)	paracentral (36.34%, 17.15%)	NA
prenatal_stress_z	4	1166	31.2103414349712	-0.254923120843914	0.0622419375849578	fusiform (48.03%, 12.01%)	lingual (30.27%, 9.07%)	parahippocampal (21.70%, 14.52%)
prenatal_stress_z	5	1019	33.4278938263453	-0.246898478684879	0.0658490380913867	lateralorbitofrontal (99.51%, 23.29%)	insula (0.49%, 0.10%)	NA
prenatal_stress_z	6	705	33.3433187235308	-0.195574008340531	0.0505586346888796	precuneus (59.86%, 5.29%)	cuneus (33.62%, 14.47%)	superiorparietal (6.52%, 0.45%)
prenatal_stress_z	7	708	32.2739204450576	-0.274374274042367	0.0705171033718997	fusiform (82.20%, 12.49%)	inferiortemporal (12.01%, 2.02%)	lateraloccipital (5.79%, 0.69%)
prenatal_stress_z	8	571	31.7078986143288	-0.311281637557751	0.0729520079629225	superiorparietal (72.5%, 4.05%)	inferiorparietal (27.5%, 1.62%)	NA
prenatal_stress_z	9	486	34.0084684905383	-0.331587624770624	0.0872112056662026	superiorparietal (85.6%, 4.07%)	precuneus (14.4%, 0.88%)	NA
prenatal_stress_z	10	201	33.0843988856725	-0.199956651276617	0.0529939707609551	lateraloccipital (100%, 3.37%)	NA	NA
prenatal_stress_z	11	363	32.5748943075362	-0.344054277031875	0.0920248795967785	fusiform (54.82%, 4.27%)	inferiortemporal (45.18%, 3.91%)	NA
prenatal_stress_z	12	351	34.2377390972031	-0.286538821424854	0.0742080874125502	superiorparietal (77.78%, 2.67%)	postcentral (22.22%, 0.85%)	NA
prenatal_stress_z	13	298	34.6776532475443	-0.243102216030527	0.0619010155733	superiorparietal (63.09%, 1.84%)	inferiorparietal (36.91%, 1.14%)	NA
prenatal_stress_z	14	140	33.010918904319	-0.291337288916111	0.0806297648698091	rostralmiddlefrontal (100%, 1.78%)	NA	NA
prenatal_stress_z	15	207	33.6968234364437	-0.27534942501697	0.0723854129873036	medialorbitofrontal (100%, 7.39%)	NA	NA
prenatal_stress_z	16	123	30.493308640461	-0.284220062014533	0.0748433470726013	entorhinal (83.74%, 11.42%)	parahippocampal (16.26%, 1.15%)	NA
prenatal_stress_z	17	145	32.2481998259539	-0.270453050116013	0.0775162366443667	caudalanteriorcingulate (61.38%, 5.53%)	superiorfrontal (38.62%, 0.47%)	NA
prenatal_stress_z	18	138	33.5276154207351	-0.234610884517863	0.0658976964220621	precuneus (100%, 1.73%)	NA	NA
prenatal_stress_z	19	84	33.7896659774131	-0.200042813306763	0.0569792807634388	lateraloccipital (97.62%, 1.38%)	pericalcarine (2.38%, 0.11%)	NA
prenatal_stress_z	20	52	34.2290987312142	-0.145433240498488	0.0420459776113813	lateraloccipital (100%, 0.87%)	NA	NA
age	1	9915	33.1003204260245	-0.582560562594515	0.115690054531447	precentral (50.44%, 46.72%)	postcentral (28.97%, 31.43%)	paracentral (19.88%, 51.45%)
age	2	4594	33.2330755116687	-0.404773912451347	0.0946823302656412	superiorparietal (45.91%, 20.63%)	precuneus (28.38%, 16.35%)	cuneus (17.91%, 50.24%)
age	3	2263	33.0057495195134	-0.395523734664	0.0884582715333693	lateraloccipital (59.88%, 22.72%)	lingual (29.78%, 17.31%)	fusiform (10.34%, 5.02%)
age	4	1214	32.8636122062203	-0.711514796319079	0.170885895717969	superiorfrontal (71.83%, 7.34%)	rostralmiddlefrontal (12.69%, 1.96%)	frontalpole (11.86%, 39.02%)
age	5	1788	33.1475635992816	0.476980523391725	0.128310823558894	superiortemporal (55.37%, 14.41%)	insula (42.90%, 15.07%)	temporalpole (1.73%, 3.79%)
age	6	423	32.336290692726	-0.253791269328859	0.0690266616624862	pericalcarine (88.89%, 20.63%)	lingual (11.11%, 1.21%)	NA
age	7	260	35.6444663426882	0.392544444134602	0.114581193316441	parahippocampal (97.69%, 14.58%)	fusiform (2.31%, 0.13%)	NA
